"","Gene","coef.FL","se.FL","Pval.FL","Cancer_type","Coef.fixed","SE.fixed","CI_lower.fixed","CI_upper.fixed","Pval.fixed","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR","FDR.fixed","FDR.FL"
"87","ITGAL",-0.475790394672059,0.137104500859198,0.000519924714941989,"Melanoma",-0.515686741554943,0.19361399294489,-0.895163194629919,-0.136210288479966,0.0077337313410666,-0.539670481076997,0.250614197764613,-1.03086528271004,-0.0484756794439569,0.0312879237361102,0.381423255520082,0.137881984026218,0.240211606453963,0.0831417618775263,0.00439572713541864
"88","PTPRC",-0.484726999849796,0.131332822567809,0.00022352430818843,"Melanoma",-0.496865241124783,0.163971558227993,-0.818243589740563,-0.175486892509004,0.0024439862853487,-0.497035733186499,0.171160633186249,-0.832504409802619,-0.161567056570379,0.0036852955182341,0.0533033307522965,0.389027338239067,0.109642932443382,0.0670727124095964,0.00372939431920206
"89","LAG3",-0.25384891805986,0.12212828613439,0.0376593567654936,"Melanoma",-0.167250904433264,0.217768664228485,-0.594069643282491,0.259567834415962,0.442474716579035,-0.199597469496534,0.345641899744884,-0.87704314454451,0.477848205551442,0.563622699068054,0.577457755366913,0.0504399785895121,0.803991203082371,0.707390824056338,0.0937073996004311
"90","GZMB",-0.594563501156516,0.149604253156316,7.06037586224135e-05,"Melanoma",-0.414339506226625,0.226001582347749,-0.857294468077277,0.0286154556240269,0.0667508635286351,-0.452159032629208,0.276000307528565,-0.993109695107174,0.0887916298487574,0.10136839821471,0.19749637931182,0.288901779010365,0.327757820894228,0.202338555071175,0.00328307477594223
"91","STAT1",-0.393364893236422,0.119141131414913,0.000961105156109778,"Melanoma",-0.292836213303404,0.137461403999766,-0.562255614407255,-0.0234168121995535,0.0331455424970946,-0.416219224478153,0.238117028959336,-0.882920025344133,0.0504815763878276,0.0804708212809264,0.585618921179951,0.0133065746812397,0.312226786569994,0.139787722705138,0.00744856495985078
"92","CD274",-0.188806350549395,0.119515741646042,0.11416152765874,"Melanoma",-0.374737192607631,0.223708096605432,-0.813197005004284,0.0637226197890225,0.093911315876245,-0.402539614906964,0.261358920345889,-0.914793685823179,0.109714456009252,0.123516639329026,0.399480383770617,0.139154667976157,0.36951021828811,0.260268503999879,0.230804827657888
"93","CCR7",-0.344631440749891,0.123341713368377,0.00520413034699856,"Melanoma",-0.3450422860325,0.256540343327345,-0.847852119535637,0.157767547470637,0.178630868736996,-0.3450422860325,0.256540343327345,-0.847852119535637,0.157767547470637,0.178630868736996,0,0.902465900689002,0.426306466571517,0.384349554437123,0.0241992061135433
"94","IDO1",-0.471943655401923,0.1293153844618,0.00026269461649332,"Melanoma",-0.313812938296808,0.223656443303009,-0.752171512081029,0.124545635487414,0.160586244390401,-0.371032394138345,0.319591280555145,-0.997419793799465,0.255355005522774,0.24565854704947,0.459213074115906,0.0996531405531113,0.529530645862191,0.372303423527491,0.00372939431920206
"95","CXCL9",-0.374036479771394,0.12424084141161,0.00260752791681096,"Melanoma",-0.451206806056642,0.194712793160842,-0.832836867981088,-0.0695767441321956,0.020487716690553,-0.484348304741357,0.292736199417553,-1.0581007125709,0.0894041030881829,0.0980146854600315,0.5039236905747,0.059884590792596,0.327757820894228,0.116900501116685,0.0151562560164637
"96","GZMA",-0.284535181663845,0.121347654808077,0.0190376246909886,"Melanoma",-0.332281656147765,0.183521346739446,-0.691976886151366,0.0274135738558357,0.070204559957207,-0.337548481988335,0.23916246007812,-0.806298290195449,0.131201326218779,0.158133374382062,0.361087671319425,0.152755081737015,0.403656245133158,0.206358858056033,0.0575502559496912
"97","IL2RG",-0.383669497982184,0.131313976192102,0.00348046229830552,"Melanoma",-0.439343942946672,0.188979643633474,-0.809737238279495,-0.0689506476138498,0.020081505633503,-0.457099995138896,0.247531834454974,-0.942253475697776,0.0280534854199839,0.0648006169650028,0.382222666298987,0.137305177361631,0.290136623048774,0.116900501116685,0.0179823885412452
"98","CD8A",-0.318124367572793,0.123457263501793,0.00997203523373176,"Melanoma",-0.420219265948595,0.185018329924154,-0.782848529079686,-0.0575900028175043,0.0231330306066936,-0.428962873316639,0.233163014734541,-0.885953984723121,0.0280282380898428,0.0658041825471446,0.39882204138607,0.125479601614694,0.290136623048774,0.118100208886804,0.0349042115439599
"99","CCR5",-0.34936716370383,0.126786964606001,0.00585944758374557,"Melanoma",-0.404666532098825,0.21354386371009,-0.823204814090131,0.0138717498924817,0.0580918368804546,-0.424054859098672,0.247044927814677,-0.908254020178736,0.0601443019813917,0.0860689094890271,0.153100922187619,0.315683362285835,0.321103239247524,0.194307178531176,0.0247694829676517
"100","CTLA4",-0.40700590090166,0.127106835294604,0.00136440421060026,"Melanoma",-0.289637749116021,0.214451019113322,-0.709954023026042,0.130678524794001,0.176823297872196,-0.280099664787244,0.388436889940533,-1.04142197933744,0.48122264976295,0.470851438323109,0.681658815927863,0.0136081815327958,0.736654669634541,0.384349554437123,0.00906354225613033
"101","CD3D",-0.262498947036272,0.121672248448026,0.0309724393769125,"Melanoma",-0.449625779054824,0.196413251164122,-0.834588677422923,-0.0646628806867246,0.0220687504409541,-0.470692305320287,0.264816726701867,-0.989723552159733,0.0483389415191584,0.0754980705504384,0.424192780131402,0.122375640760601,0.305138035141355,0.118100208886804,0.0822981960586531
"102","CXCL10",-0.328002590921998,0.1245083138194,0.008429033699499,"Melanoma",-0.358326775493911,0.191845022461378,-0.734336110131489,0.0176825591436671,0.0617909401212764,-0.380133904296667,0.291350240863092,-0.951169883275397,0.190902074682064,0.19198421244614,0.515434249422653,0.0539653526914518,0.433080665285479,0.199790706392127,0.0326625055855586
"103","CXCL11",-0.282028782039995,0.120424900593695,0.0191834186498971,"Melanoma",-0.142099428861047,0.246863842463139,-0.625943669173969,0.341744811451876,0.564872980163795,-0.197484637168527,0.474551638046579,-1.12758875654431,0.732619482207255,0.677300286107629,0.668809040251368,0.0285267739191968,0.871756594342657,0.756968871530485,0.0575502559496912
"104","CXCR6",-0.389570456735945,0.140799785660203,0.00566025549917113,"Melanoma",-0.357880089399388,0.208064440244838,-0.765678898742756,0.049918719943981,0.0854243587947158,-0.458148613762182,0.328322381598203,-1.10164865701308,0.185351429488711,0.162888309398934,0.573638412724719,0.0288360226113592,0.405132461838374,0.243710670679042,0.0247694829676517
"105","CIITA",-0.353022136937295,0.124436767656143,0.00455453123503811,"Melanoma",-0.473755253976415,0.164494852409337,-0.796159240340948,-0.151351267611882,0.0039759789181445,-0.473755253976415,0.164494852409337,-0.796159240340948,-0.151351267611882,0.0039759789181445,0,0.549378241539032,0.109642932443382,0.0670727124095964,0.0222932318346602
"106","PRF1",-0.400768514408729,0.127416205999157,0.00165888457292774,"Melanoma",-0.481588111811601,0.199927343840337,-0.873438505263417,-0.0897377183597857,0.0160043805076504,-0.546806969959263,0.303484129171808,-1.14162493301551,0.0480109930969811,0.0715824446559375,0.497484314582656,0.063322482788201,0.30189117963591,0.116900501116685,0.010285084352152
"107","PDCD1",-0.250302132890146,0.117827881250079,0.0336448070465896,"Melanoma",-0.302665879818364,0.266712340851138,-0.825412462118965,0.220080702482237,0.256458002111667,-0.302665879818364,0.266712340851138,-0.825412462118965,0.220080702482237,0.256458002111667,0,0.519447395401554,0.540791874018079,0.497528524096633,0.0869157515370232
"108","PDCD1LG2",-0.148148787664706,0.118026249286972,0.209399279064888,"Melanoma",-0.131770621723301,0.215780668609908,-0.554692960758694,0.291151717312091,0.541418559071654,-0.176137487983557,0.27589215238008,-0.71687617026575,0.364601194298637,0.523194606752444,0.380697559736166,0.152225778215755,0.803991203082371,0.756968871530485,0.360632091722862
"109","CD3E",-0.331794245913887,0.128216741982414,0.00966020650873082,"Melanoma",-0.496065588638691,0.191866572619978,-0.872117160810987,-0.120014016466395,0.0097245863018248,-0.512009595992778,0.226013669121777,-0.954988247485214,-0.0690309445003422,0.023488624500444,0.270098375692252,0.222404805369342,0.232901169873506,0.0857531701160922,0.0349042115439599
"110","PSMB10",-0.421807385826568,0.129894360606512,0.0011650101200989,"Melanoma",-0.540322319040847,0.170412906436492,-0.874325478157165,-0.206319159924529,0.001520901803388,-0.534529525540962,0.191439289568697,-0.909743638321543,-0.159315412760381,0.0052357122432115,0.309870950712486,0.180611926966223,0.109642932443382,0.0670727124095964,0.00833430316686137
"111","SIGLEC14",-0.127191324986158,0.116625061244445,0.275448804277163,"Melanoma",-0.140300815069735,0.21081063036869,-0.553482058150553,0.272880428011083,0.505711512703052,-0.145456078700532,0.240735456589636,-0.617288903418024,0.32637674601696,0.545700420109223,0.198587912947092,0.288202650729151,0.803991203082371,0.743242677760546,0.416970381249983
"112","RGPD5",-0.0567394216365255,0.117914064379434,0.630379339946122,"Melanoma",-0.0961688935778929,0.15631990227992,-0.402550272113356,0.210212484957571,0.538418889572967,-0.122659794141767,0.200341695530102,-0.515322301982456,0.270002713698922,0.540370413496222,0.340901967885483,0.167848632721629,0.803991203082371,0.756968871530485,0.733636329142957
"113","HERPUD1",-0.513528509360429,0.141371208786314,0.000280707099294778,"Melanoma",-0.392775574196538,0.183500828265674,-0.752430588730529,-0.0331205596625469,0.0323178778887582,-0.527013773629456,0.349561830110782,-1.2121423710165,0.158114823757587,0.131646413901569,0.634002531597886,0.0117904535335271,0.371525285775286,0.139787722705138,0.00372939431920206
"114","USP36",-0.108715958695188,0.119457394970557,0.362779558945618,"Melanoma",-0.124538285418299,0.142496066794615,-0.403825444274359,0.154748873437761,0.382130777615853,-0.12453864262883,0.142499413086727,-0.40383236009691,0.15475507483925,0.382140589543526,0.0359845385485118,0.398574748910516,0.650309424310913,0.628248905571827,0.503559686297649
"115","SLC2A3",-0.163823862788627,0.121446969636768,0.177358387746195,"Melanoma",-0.196199943428872,0.15672157799424,-0.503368591897867,0.110968705040123,0.210605839854784,-0.196241738738801,0.187745585916338,-0.564216325391194,0.171732847913593,0.295905803196559,0.198031287928169,0.278593958781693,0.585772712450331,0.425599301373209,0.322268615021711
"116","DNAJA1",-0.159995339306303,0.118100285288425,0.175499980273999,"Melanoma",-0.105691373544752,0.138335477576258,-0.376823927378366,0.165441180288862,0.444854023375635,-0.101249101784689,0.205974990618386,-0.504952665112702,0.302454461543323,0.623030304976776,0.488481432671379,0.0570811544889452,0.839154682155654,0.707390824056338,0.322268615021711
"117","EZR",-0.253355780577935,0.122290890198362,0.0382890449980256,"Melanoma",-0.269712257332569,0.130652004075899,-0.52578547982931,-0.0136390348358266,0.0389839686559809,-0.269712257332569,0.130652004075899,-0.52578547982931,-0.0136390348358266,0.0389839686559809,0,0.699750086539232,0.240211606453963,0.151257798385206,0.0937073996004311
"118","CREM",-0.110151579054541,0.119022455190433,0.354722060770091,"Melanoma",0.023957143339479,0.17403369455429,-0.317142630083373,0.365056916762331,0.890510655337211,0.0239571197121949,0.174033965299943,-0.317143184362386,0.365057423786776,0.890510931898517,0,0.531230636903824,0.944582074831681,0.928812188900102,0.499835631085128
"119","SMCHD1",-0.267849610395179,0.130406578627965,0.03997977549081,"Melanoma",-0.245116866906549,0.16007718623208,-0.558862386667936,0.0686286528548374,0.125709661891831,-0.245116866906549,0.16007718623208,-0.558862386667936,0.0686286528548374,0.125709661891831,0,0.503623877817126,0.36951021828811,0.320890452723885,0.0953363877088547
"120","ALG13",0.0582501095722154,0.115888250228342,0.61521716147592,"Melanoma",0.132583006074226,0.137821677644082,-0.137542518397063,0.402708530545516,0.336054880867502,0.131348595654571,0.138971390963728,-0.141030325515771,0.403727516824912,0.344583089737591,0,0.467459560985439,0.642779994318198,0.582095061502637,0.733528154067444
"121","CD276",-0.0624720843992828,0.116689030320546,0.592392382126629,"Melanoma",-0.0753693939557413,0.127915031387671,-0.326078248556887,0.175339460645404,0.555717377310503,-0.0753680461048664,0.12791641514586,-0.326079612822225,0.175343520612493,0.555728720130538,0,0.474877144334447,0.803991203082371,0.756968871530485,0.715486903088006
"122","NKG7",-0.29753528040439,0.125521459188087,0.0177691510779229,"Melanoma",-0.252017191368083,0.258831670954179,-0.759317944496596,0.255283561760431,0.330219346152003,-0.252017191368083,0.258831670954179,-0.759317944496596,0.255283561760431,0.330219346152003,0,0.631741535657444,0.628064246602828,0.582095061502637,0.0569838293188563
"123","ARRDC2",-0.125136901627767,0.11930228832123,0.294221323609194,"Melanoma",-0.0998815237354493,0.154570390307294,-0.402833921814045,0.203070874343146,0.518157642014365,-0.111343620102957,0.217219767739522,-0.537086541602576,0.314399301396661,0.608241566051456,0.460020524638326,0.0849899184518304,0.839154682155654,0.750168526498408,0.42754036086961
"124","CD69",-0.31344613365964,0.124345918910513,0.0117101918469683,"Melanoma",-0.317717008044278,0.192905768800066,-0.695805367302417,0.0603713512138606,0.0995567599452376,-0.317717008044278,0.192905768800066,-0.695805367302417,0.0603713512138606,0.0995567599452376,0,0.763567895967423,0.327757820894228,0.268250158741335,0.0388945657774304
"125","CD83",-0.358482235499547,0.139419933056179,0.0101334807708271,"Melanoma",-0.455071602555927,0.191869712894771,-0.831129329553719,-0.0790138755581345,0.0177029137676836,-0.45726310370736,0.195296292840864,-0.840036803989642,-0.0744894034250786,0.0192125300461118,0.0513214558090189,0.383768872404906,0.232901169873506,0.116900501116685,0.0349042115439599
"126","PRDM2",-0.24317927832823,0.121122606702186,0.0446739333503857,"Melanoma",-0.208351793032703,0.134538687103073,-0.47204277428203,0.0553391882166241,0.121468641093461,-0.208352844757114,0.134540562786884,-0.472047502279156,0.0553418127649284,0.121471953885422,0.157839439552485,0.305891434207774,0.36951021828811,0.318444815839614,0.101442103380492
"127","NR4A3",-0.191799888989789,0.11946508260566,0.108386208150447,"Melanoma",-0.101957924586546,0.170785502845764,-0.436691359245807,0.232775510072715,0.550511370465356,-0.101957924586546,0.170785502845764,-0.436691359245807,0.232775510072715,0.550511370465356,0,0.667474814557534,0.803991203082371,0.756968871530485,0.223998163510924
"128","YPEL5",0.0296179875049303,0.115179103279091,0.797065117834359,"Melanoma",-0.204727887268574,0.209787407165444,-0.615903649722883,0.206447875185735,0.329122629342664,-0.201157154021803,0.219101642105346,-0.630588481501865,0.228274173458259,0.358566666809103,0.0787151512856836,0.361724755264005,0.6440919755645,0.582095061502637,0.861942511146458
"129","BCL11A",-0.160808116130679,0.119991693967095,0.180193204098161,"Melanoma",-0.279178688109747,0.206138006918571,-0.683201757515015,0.12484438129552,0.175631426690512,-0.28019576718589,0.209075423415851,-0.68997606713342,0.12958453276164,0.18019139308693,0,0.470964316249384,0.426306466571517,0.384349554437123,0.322268615021711
"130","HSPH1",-0.126466471685395,0.11657317414279,0.277980254166655,"Melanoma",-0.0884931179747145,0.132693099878773,-0.348566814734086,0.171580578784657,0.504835579295423,-0.0723649972170133,0.17833629971183,-0.421897721788341,0.277167727354314,0.684905517994986,0.387242919907184,0.121172583529573,0.871756594342657,0.743242677760546,0.416970381249983
"131","LY9",-0.464172778442613,0.132968521186228,0.00048149169683292,"Melanoma",-0.644302895199155,0.226101690586514,-1.08745406559234,-0.201151724805968,0.0043772101651932,-0.713937668972523,0.341647259279314,-1.3835539925768,-0.0443213453682506,0.0366454433708773,0.508181815374632,0.0868229230284809,0.240211606453963,0.0670727124095964,0.00439572713541864
